id,title,subtitle,poster,pubdate,url,rating,genres,star,star_time
2795761920,施舍,不是花火呀 / 2021,https://img9.doubanio.com/view/subject/m/public/s33802726.jpg,2021-01-09,https://music.douban.com/subject/35326243/,6.2,流行,3,2021-06-30 02:30:06
2934486440,TA,不是花火呀 / 2021,https://img9.doubanio.com/view/subject/m/public/s33890753.jpg,2021-01-22,https://music.douban.com/subject/35454170/,7.2,流行,3.5,2021-06-30 02:29:35
1243952535,西游记86版原声带,群星 许镜清 / 1986,https://img9.doubanio.com/view/subject/m/public/s33041813.jpg,1986-09-25,https://music.douban.com/subject/4308199/,9.7,原声,5,2017-09-17 10:46:18
135801668,Lifeforms,The Future Sound Of London / 1994,https://img9.doubanio.com/view/subject/m/public/s3314594.jpg,1994-05-27,https://music.douban.com/subject/1428041/,8.6,电子,4.5,2010-07-01 09:26:16
151244267,留声十年 绝版青春 许巍北京演唱会,许巍 / 2005,https://img9.doubanio.com/view/subject/m/public/s10489234.jpg,2005-10-26,https://music.douban.com/subject/2305563/,9.4,流行,4.5,2009-08-21 03:59:36
136797907,Music For Tourists,Chris Garneau / 2007,https://img9.doubanio.com/view/subject/m/public/s1989094.jpg,2007-01-23,https://music.douban.com/subject/1960229/,8.7,民谣,4.5,2009-07-07 21:01:47
136797542,9 Crimes,Damien Rice / 2006,https://img9.doubanio.com/view/subject/m/public/s3341606.jpg,2006-11-27,https://music.douban.com/subject/2286005/,9.4,民谣,4.5,2009-07-07 21:00:18
11683262,在路上…,许巍 / 2006,https://img9.doubanio.com/view/subject/m/public/s1499662.jpg,2006-02-16,https://music.douban.com/subject/1478828/,8.3,摇滚,4,2009-07-07 10:48:14
136616597,Sgt. Pepper's Lonely Hearts Club Band,The Beatles / 1967,https://img9.doubanio.com/view/subject/m/public/s1445617.jpg,1967,https://music.douban.com/subject/1394665/,9.4,摇滚,4.5,2009-07-07 10:20:11
136616467,Yellow Submarine Songtrack,The Beatles / 1969,https://img9.doubanio.com/view/subject/m/public/s2654886.jpg,1969,https://music.douban.com/subject/1408551/,9,摇滚,4.5,2009-07-07 10:19:37
11683293,时光·漫步,许巍 Wei Xu / 2002,https://img9.doubanio.com/view/subject/m/public/s3839391.jpg,2002-12-01,https://music.douban.com/subject/1408378/,8.9,民谣,4.5,2009-07-04 07:49:20
11683378,在别处,许巍 / 1997,https://img9.doubanio.com/view/subject/m/public/s2881965.jpg,1997,https://music.douban.com/subject/1407498/,9,摇滚,4.5,2009-07-04 07:48:52
78307375,Dead Cities,The Future Sound of London / 1996,https://img9.doubanio.com/view/subject/m/public/s2884986.jpg,1996-10-29,https://music.douban.com/subject/1466643/,8.3,电子,4,2009-03-16 22:19:40
78539963,And Winter Came...,Enya / 2008,https://img9.doubanio.com/view/subject/m/public/s4715290.jpg,2008-11-10,https://music.douban.com/subject/3219362/,7.9,世界音乐,4,2009-03-16 22:19:23
79330096,Cascade,The Future Sound of London / 1996,https://img9.doubanio.com/view/subject/m/public/s2657960.jpg,1996-03-05,https://music.douban.com/subject/1779031/,8.5,,4.5,2009-03-16 22:18:58
79330228,ISDN,The Future Sound of London / 1995,https://img9.doubanio.com/view/subject/m/public/s3550762.jpg,1995-06-06,https://music.douban.com/subject/1764751/,8.5,电子,4.5,2009-03-16 22:18:40
78231937,How to Walk Away,Juliana Hatfield / 2008,https://img9.doubanio.com/view/subject/m/public/s3226758.jpg,2008-08-19,https://music.douban.com/subject/3183327/,7.4,摇滚,3.5,2009-03-16 22:17:52
100473702,Juno OST,Various Artists / 2007,https://img9.doubanio.com/view/subject/m/public/s2890997.jpg,2007-12-05,https://music.douban.com/subject/2367087/,8.8,原声,4.5,2009-03-02 00:09:16
16026464,O,Damien Rice / 2003,https://img9.doubanio.com/view/subject/m/public/s2838077.jpg,2003,https://music.douban.com/subject/1394590/,9.1,流行,4.5,2009-02-17 11:04:54
79093148,故事,许巍 / 2008,https://img9.doubanio.com/view/subject/m/public/s3301182.jpg,2008-09,https://music.douban.com/subject/3225858/,8.7,民谣,4.5,2008-12-12 13:11:29
78499786,爱如少年,许巍 / 2008,https://img9.doubanio.com/view/subject/m/public/s3289013.jpg,2008-10-15,https://music.douban.com/subject/3223853/,7.6,民谣,4,2008-12-10 01:16:51
78236310,Made in China,Juliana Hatfield / 2005,https://img9.doubanio.com/view/subject/m/public/s3593353.jpg,2005-08-09,https://music.douban.com/subject/1486175/,7.5,流行,4,2008-12-09 04:40:06
75226248,The Teaches of Peaches,Peaches / 2000,https://img9.doubanio.com/view/subject/m/public/s3642816.jpg,2000-09-05,https://music.douban.com/subject/1774553/,7.7,摇滚,4,2008-12-09 02:55:45
55820203,This Ageless Night,Midsummer Coastal / 2002,https://img9.doubanio.com/view/subject/m/public/s3228668.jpg,2002,https://music.douban.com/subject/3186394/,0,,0,2008-10-20 09:03:36
52268508,Back Stories,Aaron Booth / 2008,https://img9.doubanio.com/view/subject/m/public/s3088646.jpg,2008-04-15,https://music.douban.com/subject/3073685/,7.5,,4,2008-10-20 09:02:43
53390319,The Disintegration Loops IV,William Basinski / 2012,https://img9.doubanio.com/view/subject/m/public/s22786452.jpg,2012-09-04,https://music.douban.com/subject/1981944/,8.6,电子,4.5,2008-10-20 09:00:08
55819652,Coastal,Coastal / 2001,https://img9.doubanio.com/view/subject/m/public/s33492219.jpg,2001-03-21,https://music.douban.com/subject/1447050/,9,摇滚,4.5,2008-10-20 08:59:50
55819712,Halfway to You,Coastal / 2004,https://img9.doubanio.com/view/subject/m/public/s33492225.jpg,2004-08-10,https://music.douban.com/subject/1418007/,8.3,摇滚,4,2008-10-20 08:57:06
52270109,First Love (初恋),Yiruma (李闰珉) / 2001,https://img9.doubanio.com/view/subject/m/public/s4120639.jpg,2001-11-27,https://music.douban.com/subject/1756523/,9.4,轻音乐,4.5,2008-08-09 09:46:08
52270203,Destiny Of Love,Yiruma / 2005,https://img9.doubanio.com/view/subject/m/public/s4711885.jpg,2005,https://music.douban.com/subject/1756521/,9.2,,4.5,2008-08-09 09:46:01
46146050,细说往事,小娟&山谷里的居民 / 2007,https://img9.doubanio.com/view/subject/m/public/s4715447.jpg,2007-07,https://music.douban.com/subject/2154174/,8.6,流行,4.5,2008-08-09 09:45:48
47002790,Now The Day Is Over,The Innocence Mission / 2004,https://img9.doubanio.com/view/subject/m/public/s1506405.jpg,2004,https://music.douban.com/subject/1404703/,8.4,民谣,4,2008-08-09 09:45:33
46022441,B - Sides,Damien Rice / 2004,https://img9.doubanio.com/view/subject/m/public/s1404835.jpg,2004,https://music.douban.com/subject/1396321/,8.8,民谣,4.5,2008-08-09 09:44:54
45885570,"Piano Solos, Vol. 2",Dustin O'Halloran / 2006,https://img9.doubanio.com/view/subject/m/public/s4717185.jpg,2006-10-10,https://music.douban.com/subject/1898588/,9,古典,4.5,2008-08-09 09:44:35
43987364,9,Damien Rice / 2006,https://img9.doubanio.com/view/subject/m/public/s1831581.jpg,2006-11-06,https://music.douban.com/subject/1889074/,8.9,民谣,4.5,2008-08-09 09:44:03
46146090,如风往事,小娟&山谷里的居民 / 2007/02/06 ,https://img9.doubanio.com/view/subject/m/public/s4714496.jpg,2007/02/06 ,https://music.douban.com/subject/1997995/,8.6,民谣,4.5,2008-08-09 09:43:31
50979111,唱游,王菲 / 1998,https://img9.doubanio.com/view/subject/m/public/s2749634.jpg,1998,https://music.douban.com/subject/1394808/,9.2,流行,4.5,2008-07-26 06:47:55
50979090,艳阳天,窦唯 / 1995,https://img9.doubanio.com/view/subject/m/public/s3194787.jpg,1995-10,https://music.douban.com/subject/1395136/,8.9,摇滚,4.5,2008-07-26 06:47:10
46245387,月とドライブ,metro trip / 2006,https://img9.doubanio.com/view/subject/m/public/s4518099.jpg,2006-01-11,https://music.douban.com/subject/1484261/,7,,3.5,2008-06-29 23:09:09
45885470,Discreet Music,Brian Eno Gavin Bryars The Cockpit Ensemble / 2004,https://img9.doubanio.com/view/subject/m/public/s7013242.jpg,2004-10-05,https://music.douban.com/subject/1441368/,8.1,电子,4,2008-06-24 19:04:51
46136235,Salome The Seventh Veil,Xandria / 2007,https://img9.doubanio.com/view/subject/m/public/s2401240.jpg,2007,https://music.douban.com/subject/2077221/,7.6,摇滚,4,2008-06-24 19:03:59
46142585,萧敬腾同名专辑,萧敬腾 / 2008,https://img9.doubanio.com/view/subject/m/public/s3132122.jpg,2008-06-16,https://music.douban.com/subject/3092491/,7.8,流行,4,2008-06-24 19:02:38
11683405,赤裸裸,郑钧 / 1994,https://img9.doubanio.com/view/subject/m/public/s3666296.jpg,1994,https://music.douban.com/subject/1404457/,8.8,摇滚,4.5,2008-06-02 20:54:02
23286706,我很忙,周杰伦 / 2007,https://img9.doubanio.com/view/subject/m/public/s2753832.jpg,2007-11-01,https://music.douban.com/subject/1846771/,7.3,流行,3.5,2008-06-02 20:53:45
11683518,温暖呐喊,郑钧 / 2006,https://img9.doubanio.com/view/subject/m/public/s4715332.jpg,2006,https://music.douban.com/subject/1499666/,8.7,摇滚,4.5,2008-06-02 20:53:27
43207112,世界上最动听的歌,Various Artists / 1999,https://img9.doubanio.com/view/subject/m/public/s1413912.jpg,1999,https://music.douban.com/subject/1406413/,9.2,摇滚,4.5,2008-06-02 20:53:08
43206986,穿过骨头抚摩你,2002,https://img9.doubanio.com/view/subject/m/public/s1737732.jpg,2002-06-15,https://music.douban.com/subject/1404032/,8.9,摇滚,4.5,2008-06-02 20:52:20
43206936,欧美唯美另类经典歌曲集III《踏刃而起》,Various Artists / 2004,https://img9.doubanio.com/view/subject/m/public/s1734844.jpg,2004,https://music.douban.com/subject/1408640/,8.5,摇滚,4.5,2008-06-02 20:51:57
43206894,断弦的耳朵,Various Artists / 2004,https://img9.doubanio.com/view/subject/m/public/s1417298.jpg,2004-01-01,https://music.douban.com/subject/1401426/,8.9,摇滚,4.5,2008-06-02 20:51:37
41893453,一无所有,崔健 / 1989,https://img9.doubanio.com/view/subject/m/public/s3959416.jpg,1989,https://music.douban.com/subject/1755958/,9.3,摇滚,4.5,2008-05-24 20:43:25
41893405,The Best Of The Doors,The Doors / 1985,https://img9.doubanio.com/view/subject/m/public/s4412368.jpg,1985,https://music.douban.com/subject/1431901/,9.2,摇滚,4.5,2008-05-24 20:43:10
41893355,红旗下的蛋,崔健 / 1994,https://img9.doubanio.com/view/subject/m/public/s1417120.jpg,1994,https://music.douban.com/subject/1395110/,8.8,摇滚,4.5,2008-05-24 20:42:55
32184788,黑豹,黑豹 / 1992,https://img9.doubanio.com/view/subject/m/public/s1401153.jpg,1992-12-01,https://music.douban.com/subject/1413627/,9.1,摇滚,4.5,2008-05-24 20:42:41
41893282,新长征路上的摇滚,崔健 / 1989,https://img9.doubanio.com/view/subject/m/public/s8868552.jpg,1989,https://music.douban.com/subject/1394742/,9.2,摇滚,4.5,2008-05-24 20:42:30
41893218,中国火 I,Various Artists / 1992,https://img9.doubanio.com/view/subject/m/public/s1988780.jpg,1992,https://music.douban.com/subject/1402221/,8.9,摇滚,4.5,2008-05-24 20:42:13
41893172,黑梦,窦唯 / 1994,https://img9.doubanio.com/view/subject/m/public/s3081692.jpg,1994-10,https://music.douban.com/subject/2299845/,9.2,摇滚,4.5,2008-05-24 20:41:57
41892845,The Spaghetti Incident,Guns N' Roses / 1993,https://img9.doubanio.com/view/subject/m/public/s1879166.jpg,1993,https://music.douban.com/subject/1900800/,7.4,摇滚,3.5,2008-05-24 20:40:08
12966048,MTV Unplugged in New York,Nirvana / 1994,https://img9.doubanio.com/view/subject/m/public/s3158430.jpg,1994-11-01,https://music.douban.com/subject/1394566/,9.5,摇滚,5,2008-05-23 21:30:02
28009139,孤独的人是可耻的,张楚 / 1994,https://img9.doubanio.com/view/subject/m/public/s3266121.jpg,1994,https://music.douban.com/subject/1407472/,9.1,摇滚,4.5,2008-01-05 13:55:44
27292366,From the Muddy Banks of the Wishkah,Nirvana / 1996,https://img9.doubanio.com/view/subject/m/public/s29725332.jpg,1996,https://music.douban.com/subject/1431850/,9,流行,4.5,2007-12-28 00:13:01
27292268,Nevermind,Nirvana / 1991,https://img9.doubanio.com/view/subject/m/public/s1632580.jpg,1991,https://music.douban.com/subject/1394568/,9.2,摇滚,4.5,2007-12-28 00:11:50
26158717,The Dark Side of the Moon,Pink Floyd / 1973,https://img9.doubanio.com/view/subject/m/public/s4415985.jpg,1973,https://music.douban.com/subject/1395685/,9.1,摇滚,4.5,2007-12-14 13:16:54
26158632,The Wall,Pink Floyd / 1979,https://img9.doubanio.com/view/subject/m/public/s2413665.jpg,1979,https://music.douban.com/subject/1394664/,9.2,摇滚,4.5,2007-12-14 13:16:06
26158584,Suede,Suede / 1993,https://img9.doubanio.com/view/subject/m/public/s1496506.jpg,1993,https://music.douban.com/subject/1394569/,8.9,摇滚,4.5,2007-12-14 13:15:38
26158520,OK Computer,Radiohead / 1997,https://img9.doubanio.com/view/subject/m/public/s2789048.jpg,1997,https://music.douban.com/subject/1394653/,9.2,摇滚,4.5,2007-12-14 13:15:02
26158498,Incesticide,Nirvana / 1992,https://img9.doubanio.com/view/subject/m/public/s3766698.jpg,1992,https://music.douban.com/subject/1401439/,8.6,摇滚,4.5,2007-12-14 13:14:45
26158441,In Utero,Nirvana / 1993,https://img9.doubanio.com/view/subject/m/public/s4522176.jpg,1993,https://music.douban.com/subject/1401443/,9,摇滚,4.5,2007-12-14 13:14:12
4334853,Beauty,Vargo / 2006,https://img9.doubanio.com/view/subject/m/public/s3119647.jpg,2006-02-21,https://music.douban.com/subject/1766737/,8.9,,4.5,2007-11-07 12:52:01
3712668,My Life Will...,张悬 / 2006,https://img9.doubanio.com/view/subject/m/public/s1884457.jpg,2006-06-09,https://music.douban.com/subject/1788174/,8.6,流行,4.5,2007-10-25 09:28:44
3712735,Talkie Walkie,Air / 2004,https://img9.doubanio.com/view/subject/m/public/s1400153.jpg,2004-02-17,https://music.douban.com/subject/1394897/,8.4,电子,4,2007-10-25 09:28:26
14596024,Use Your Illusion I,Guns N' Roses / 1991,https://img9.doubanio.com/view/subject/m/public/s4717854.jpg,1991,https://music.douban.com/subject/1401165/,9,摇滚,4.5,2007-05-21 23:32:06
11683493,我们的生活充满阳光,郑钧 / 2003,https://img9.doubanio.com/view/subject/m/public/s4717152.jpg,2003,https://music.douban.com/subject/1408655/,7.8,摇滚,4,2007-03-13 21:59:15
11683466,郑钧=ZJ,郑钧 / 2001,https://img9.doubanio.com/view/subject/m/public/s3724471.jpg,2001,https://music.douban.com/subject/1407361/,8.2,摇滚,4,2007-03-13 21:58:47
11683449,怒放,郑钧 / 1999,https://img9.doubanio.com/view/subject/m/public/s3012398.jpg,1999,https://music.douban.com/subject/1405425/,7.8,摇滚,4,2007-03-13 21:58:25
11683435,第三只眼,郑钧 / 1996,https://img9.doubanio.com/view/subject/m/public/s1419179.jpg,1996,https://music.douban.com/subject/1449967/,8.4,摇滚,4,2007-03-13 21:57:53
11683357,那一年,许巍 / 2000,https://img9.doubanio.com/view/subject/m/public/s4713651.jpg,2000,https://music.douban.com/subject/1439087/,9,摇滚,4.5,2007-03-13 21:56:10
11683323,每一刻都是崭新的,许巍 / 2004,https://img9.doubanio.com/view/subject/m/public/s1418599.jpg,2004-12-09,https://music.douban.com/subject/1406881/,8.2,摇滚,4,2007-03-13 21:55:27
3458627,Bleach,Nirvana / 1989,https://img9.doubanio.com/view/subject/m/public/s1492871.jpg,1989,https://music.douban.com/subject/1401436/,8.8,摇滚,4.5,2006-06-05 07:18:37
3458569,With The Lights Out,Nirvana / 2004,https://img9.doubanio.com/view/subject/m/public/s23128546.jpg,2004-11-23,https://music.douban.com/subject/1416696/,9.3,摇滚,4.5,2006-06-05 05:32:22
2736967,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins / 1995,https://img9.doubanio.com/view/subject/m/public/s1400100.jpg,1995-10-24,https://music.douban.com/subject/1394848/,9.1,摇滚,4.5,2006-04-30 22:38:59